Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500003208,5,1,20,1605,1,2,2,2,2,63.0,MATHIEU (RUE ),,,,330,4.0,0.0,0.0,,1,1,,,0,1,1,0,60,1,0,1,0
200500003209,5,1,19,1200,1,2,3,2,3,63.0,JOURNAUX (AVE DES QUARAN,,,,330,4.0,0.0,0.0,,0,2,,,0,1,1,0,65,2,0,1,99
200500003210,5,1,23,415,5,2,1,1,7,63.0,CURIE (BD JOLIOT),,,,330,4.0,0.0,0.0,,3,2,,,0,2,2,0,65,1,0,1,0
200500003211,5,1,22,1235,1,2,3,1,4,63.0,"155, MANDEL (RUE GEORGES",,,,330,4.0,0.0,0.0,,1,1,,,2,1,1,0,55,1,0,1,0
200500003212,5,1,24,430,5,2,1,1,1,63.0,"179, MEDOC (CRS DU)",,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,84,1,0,1,0
200500003213,5,1,20,1950,5,2,2,2,4,63.0,TOULOUSE (RTE DE),,,,330,4.0,0.0,0.0,,2,0,,,0,1,1,0,95,2,0,1,0
200500003214,5,1,21,1355,1,2,1,2,4,63.0,BOSC (BD JEAN-JACQUES),,,,330,4.0,0.0,0.0,,3,2,,,1,1,1,0,35,2,0,1,0
200500003215,5,1,21,1420,1,2,1,2,3,63.0,MEDOC (CRS DU),,,,330,4.0,0.0,0.0,,2,2,,,1,1,1,0,61,2,0,1,0
200500003216,5,1,21,1430,1,2,1,1,6,63.0,"242, YSER (CRS DE L)",,,,330,4.0,0.0,0.0,,1,1,,,0,1,1,0,0,2,0,1,0
200500003217,5,1,21,2045,5,2,2,2,2,63.0,WILSON (BD DU PRESIDENT),,,,330,4.0,0.0,0.0,,3,4,,,1,1,1,0,49,2,0,1,0
200500003218,5,1,17,1710,1,2,4,1,2,281.0,KENNEDY (AVE PRESIDENT J,,,,330,4.0,0.0,0.0,,2,3,,,0,1,1,0,105,1,0,1,0
200500003219,5,1,18,1230,1,2,2,2,3,39.0,HUGO (CRS VICTOR),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,70,1,0,1,0
200500003220,5,1,19,905,1,2,6,2,3,522.0,ARNOZAN (RUE DU PROFESSE,,,,330,4.0,0.0,0.0,,3,0,,,0,3,1,0,55,2,0,1,0
200500003221,5,1,19,1345,1,2,1,2,2,318.0,MADRAN (AVE DE),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,120,2,0,1,0
200500003222,5,1,15,1800,5,2,2,1,3,522.0,LIBERATION (CRS DE LA),,,,330,4.0,0.0,0.0,,3,3,,,0,1,1,0,125,1,0,1,0
200500003223,5,1,20,850,1,2,2,2,5,281.0,GARROS (AVE ROLAND),,,,330,4.0,0.0,0.0,,2,3,,,0,1,1,0,120,2,0,1,0
200500003224,5,1,23,300,5,2,2,1,3,63.0,BOSC (BD JEAN-JACQUES),,,,330,4.0,0.0,0.0,,3,4,,,0,3,1,8,135,1,0,1,0
200500003225,5,1,24,705,5,2,3,1,3,63.0,EYSINES CAUD (AVE D),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,70,1,0,1,0
200500003226,5,1,24,1740,2,2,1,1,6,63.0,"12, JOHNSTON (RUE DAVID)",,,,330,4.0,0.0,0.0,,1,1,,,2,1,0,0,60,1,0,5,0
200500003227,5,1,17,815,1,2,3,1,3,39.0,BOSC (BD JEAN-JACQUES),,,,330,4.0,0.0,0.0,,3,4,,,1,1,1,14,36,1,0,1,0
200500003228,5,1,24,650,5,2,1,1,6,75.0,"23, AQUITAINE (AVE D)",,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,69,1,0,1,0
200500003229,5,1,19,1830,5,2,2,2,3,318.0,TASSIGNY (AVE MAL DE LAT,,,,330,4.0,0.0,0.0,,2,3,,,0,1,1,0,110,2,0,1,0
200500003230,5,1,24,1520,1,2,2,2,6,318.0,CHATEAUBRIAND (RUE ),,,,330,4.0,0.0,0.0,,3,4,,,0,1,1,6,60,1,0,1,0
200500003231,5,1,25,1720,1,2,1,1,6,318.0,"99, PENARD (AVE DU DOCTE",,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,110,1,0,1,0
200500003232,5,1,25,2130,5,2,1,1,1,192.0,MAUGUETTE (RUE DE LA),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,86,1,0,1,0
