IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z5CT17;1674;1582;19740;-15.3;-10.5;-12.3;;;;;;Bordeaux Pont St Jean;Sens Entrant;;
Z17CT6;422;575;7531;2.2;-1.8;0.5;;;;;;Talence 455 Cours de la Libération;Sens Entrant;;
Z5CT8;482;417;7363;-16.0;-19.6;-13.1;;;;;;Bordeaux Rue Domercq après Pt du Guit;Sens Entrant;;
Z17CT7;419;452;5883;1.5;-0.9;-1.0;;;;;;Talence Libération après Suzon;Sens Entrant;;
Z6CT14;387;383;4513;3.8;6.4;0.8;;;;;;Bordeaux Rue Lachassaigne après Mandel;Nord > Sud;;
Z17DS;233;549;4100;12.9;6.2;1.5;162;-1.1;47;2.2;;Talence av de Thouars (face au château);Sens Sortant;;
Z7CT12;565;483;6486;0.4;2.6;0.0;;;;;;Mérignac Mendès-France après Verdun;Mérignac > Pessac         Nord > Sud;;
Z17EE;135;203;1755;32.8;0.6;-1.7;32;-12.3;33;3.1;;Talence 42 Rue Lamartine;Sens Entrant;;
Z7CT13;161;131;1908;-4.6;4.9;-0.7;;;;;;Mérignac Tassigny après Aimé Césaire;sens sortant;;
Z19AS;410;528;6708;13.0;-3.4;-3.1;500;0.0;36;0.0;;Villenave d'Ornon 335 rte Toulouse;Sens Sortant;;
Z7CT16;370;389;5006;-5.4;0.7;-2.0;;;;;;Mérignac Tassigny avant Robinson;Sens Sortant;;
Z19CT10;334;297;3888;25.2;14.6;15.0;;;;;;Villenave d'Ornon Labro vers Bègles;Sens Entrant;;
Z7CT17;151;354;3508;9.0;1.6;5.3;;;;;;Mérignac Av. Libération après de Gaulle;Sud > Nord;;
Z19CT14;515;975;11291;9.5;1.1;-2.6;;;;;;Villenave d'Ornon bretelle sortie int.;Bretelle sortie rocade intérieure;;
Z7CT8;172;338;3442;4.9;10.7;10.3;;;;;;Mérignac Av. Leclerc après V. Eglise;Sud > Nord;;
Z19CT16;522;505;7463;3.4;-3.1;-2.7;;;;;;Bègles 168 rte de Toulouse après Sévène;Sens Entrant;;
Z8CT14;374;251;3682;5.1;0.1;2.0;;;;;;Bordeaux Rue Sem;Sud > Nord;;
Z19CT3;470;485;7094;0.3;-1.4;0.1;;;;;;Villenave d'Ornon Toulouse Chatry/Labro;Sens Sortant;;
Z8CT15;309;522;5198;-15.9;5.8;-1.2;;;;;;Bordeaux Rue Sem;Nord > Sud;;
Z19CT7;314;568;6661;4.5;2.6;-1.1;;;;;;Villenave d'Ornon Av des Pyrénées;Sens Entrant;;
Z8CT3;323;276;3907;11.1;2.7;3.7;;;;;;Bordeaux Av. Thiers après Pt Bouthier;Sens Entrant;;
Z19CT9;365;540;7100;0.1;-5.4;-4.3;;;;;;Villenave d'Ornon Leclerc après rocade;Sens Entrant;;
Z9CT11;686;715;10300;10.5;9.6;3.9;;;;;;Bordeaux Blvd G. Pompidou après Doumerc;Sens Sortant;;
Z1CT1;708;681;10203;-5.0;-5.8;-4.2;;;;;;Bordeaux 17 Quai Louis XVIII Ferrère;Nord > Sud;;
Z9CT14;423;436;6541;1.1;-5.2;-3.8;;;;;;Mérignac Av. de Peychotte avant Riaud;Sens Entrant;;
Z1CT10;581;537;8402;-8.1;-10.1;-7.8;;;;;;Bordeaux Quai des Chartrons;Nord > Sud;;
Z9CT18;639;635;9399;4.0;-4.7;-0.1;;;;;;Bordeaux Blvd G Pompidou après Despagnet;Sens Entrant;;
