IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z16BE;430;632;6119;-22,48%;-4,12%;-8,29%;351;-7,20%;32.3;-4.7;;Pessac 9 avenue de Madran;Sens Entrant;;
Z16DE;665;883;10135;-6,42%;0,38%;0,30%;417;12,39%;21.1;-0.2;;Pessac 98 avenue de Saige;Sens Entrant;;
Z17AE;346;373;5244;-6,73%;-6,25%;-5,26%;284;-1,69%;29.8;-0.2;;Talence Libération Roul Peïxotto;Sens Entrant;;
Z17DS;344;574;4230;5,02%;1,24%;-1,00%;142;-2,91%;44.3;0.7;;Talence av de Thouars (face au château);Sens Sortant;;
Z20AE;701;724;9209;-2,48%;-1,35%;2,45%;221;16,42%;31.0;-1.2;;Bordeaux 248 avenue Tassigny;Sens Entrant;;
Z21BE;661;560;6952;4,93%;7,77%;9,11%;193;10,72%;29.1;-1.7;;Le Bouscat 168 avenue d'Eysines;Sens Entrant;;
Z21BS;627;728;7463;1,19%;1,89%;4,05%;150;2,31%;33.5;-1.6;;Le Bouscat 168 avenue d'Eysines;Sens Sortant;;
Z21CS;382;480;4945;1,36%;9,09%;6,86%;109;30,18%;28.8;-4.5;;Le Bouscat 58 avenue de Tivoli;Sens Sortant;;
Z21DE;395;397;3912;1,74%;2,90%;3,45%;162;9,58%;35.1;-2.2;;Le Bouscat av. Victor Hugo;Sens Entrant;;
Z22AE;780;593;7595;-2,29%;-16,44%;-6,93%;517;-19,71%;50.4;-3.1;;Lormont 34 quai Elisabeth Dupeyron;Sens Entrant;;
Z23AS;588;622;6755;3,80%;-0,14%;9,13%;165;128,25%;32.4;-7.2;;Eysines 126 av. du Taillan;Sens Sortant;;
Z23BS;687;620;7331;-6,09%;-4,69%;1,81%;368;-15,11%;36.4;-2.6;;Bruges av. de Gaulle Fleuranceau Rocade;Sens Sortant;;
